50 750
17 37 242
30 0 394
48 26 375
33 8 420
35 26 136
3 13 339
17 16 247
1 12 251
49 47 74
39 33 8
3 17 205
21 0 147
14 46 362
29 46 280
28 0 365
37 45 123
13 35 0
11 17 195
24 44 402
45 49 309
35 17 330
30 8 289
32 3 214
42 33 331
27 7 366
25 15 1
21 4 141
31 28 298
29 38 300
39 16 199
29 38 428
9 20 420
7 22 176
29 32 360
7 20 153
25 4 341
42 27 65
6 31 318
5 6 361
22 40 330
3 10 110
17 17 382
43 42 213
40 19 398
14 16 194
6 10 215
36 23 141
44 10 235
17 37 199
48 50 149
6 30 332
17 2 77
28 38 217
43 21 221
3 18 182
10 6 329
8 23 412
20 21 94
1 7 195
29 28 316
24 42 304
50 22 330
0 46 289
44 21 397
48 40 88
18 45 383
10 18 425
41 11 31
23 34 11
34 11 290
32 15 347
15 46 231
4 40 349
27 2 358
31 4 160
7 9 89
23 15 179
12 45 127
14 17 191
29 8 156
31 42 263
11 25 332
3 17 423
15 20 423
19 18 235
35 15 96
21 44 177
23 32 194
37 29 80
0 4 158
36 5 242
44 37 95
8 49 358
17 45 236
37 49 413
9 25 292
43 12 239
36 2 170
25 37 171
38 2 283
21 17 32
44 6 429
44 27 264
33 39 18
37 16 12
7 15 330
6 7 80
18 17 426
12 24 72
1 19 413
16 6 188
16 42 213
24 42 329
24 32 304
37 17 280
27 41 298
15 8 2
39 9 197
12 17 406
46 35 283
50 10 279
21 30 198
22 6 335
2 18 423
36 31 4
13 28 273
23 28 403
27 17 139
15 14 423
45 30 163
41 8 81
5 7 136
20 39 362
14 47 154
16 23 370
3 39 130
38 15 199
23 0 134
17 21 90
36 50 228
3 45 53
14 17 231
0 41 229
50 15 346
9 15 156
46 5 296
49 30 275
2 35 274
1 48 365
0 42 10
10 27 219
2 41 324
38 48 224
13 28 388
4 21 387
17 9 405
33 47 351
18 29 408
44 34 306
16 29 196
21 4 72
46 17 59
46 25 247
16 30 287
40 25 388
12 31 290
9 39 49
0 15 61
0 30 352
5 24 367
44 10 60
35 22 66
19 32 30
13 1 253
31 14 139
30 14 4
50 38 241
12 25 283
33 31 115
29 23 233
10 14 237
24 21 200
26 44 341
19 45 314
30 26 80
2 47 161
33 44 41
28 4 70
5 6 266
37 22 21
26 42 420
50 50 181
42 46 285
6 7 221
7 38 262
19 23 321
18 49 375
4 47 23
18 34 324
26 37 68
36 35 245
28 16 4
11 4 109
48 8 46
0 0 285
42 46 429
8 11 27
15 7 22
30 21 66
34 7 130
41 13 280
10 25 261
1 33 77
8 14 100
2 8 430
44 6 212
44 10 232
10 0 88
2 33 41
22 27 253
45 12 316
12 48 282
29 41 87
8 17 178
14 2 137
46 15 15
6 35 427
47 13 83
2 37 33
4 3 131
42 15 11
29 8 95
6 20 392
17 10 220
0 28 185
19 19 195
12 0 328
44 28 344
34 12 393
9 15 399
7 49 2
37 14 58
48 45 404
7 41 56
8 26 423
31 20 264
33 42 179
25 0 283
9 20 306
48 30 12
0 44 172
24 43 76
46 7 408
38 11 279
32 45 266
8 41 129
4 28 91
0 9 213
28 44 373
24 13 170
44 38 292
41 16 105
16 4 18
50 5 425
5 24 147
29 28 375
21 23 263
14 25 364
13 25 116
48 2 266
40 6 410
42 30 160
43 26 124
37 32 429
1 39 238
28 20 327
13 15 390
11 19 299
1 30 163
19 8 227
21 24 55
19 42 387
39 41 114
21 42 325
25 18 220
45 49 303
10 35 164
12 32 314
28 10 386
14 22 258
33 14 233
5 29 322
4 42 66
7 13 184
33 42 174
12 32 314
32 7 117
38 4 95
24 13 13
10 40 147
6 10 307
25 19 246
25 7 7
50 37 107
0 0 157
46 29 110
43 43 402
37 44 429
47 6 14
25 50 425
45 24 143
7 4 181
30 47 205
30 31 115
23 3 54
16 34 122
21 21 130
34 11 312
11 34 427
36 49 34
36 43 263
27 0 18
35 25 355
9 42 300
33 32 95
4 26 416
37 35 243
18 18 142
39 32 379
24 21 78
38 31 353
32 10 301
13 39 159
5 19 162
31 41 92
34 23 115
14 15 375
9 9 41
30 32 276
41 42 142
46 50 148
12 5 190
41 44 383
35 14 146
50 43 178
0 4 111
32 29 383
6 27 97
9 33 140
40 40 387
44 41 219
44 42 319
30 49 100
9 12 73
9 16 189
34 3 216
13 0 235
5 38 360
26 18 20
9 29 415
5 29 116
4 17 252
25 39 412
12 23 119
26 25 40
3 45 176
22 22 306
